#{"t_start": 1549566913.550677, "env_id": null}
r,l,t
0.0,4420,50.13918
424.0,7939,137.125992
40.0,965,147.642461
1425.0,5717,210.053167
0.0,776,218.603155
80.0,929,228.928997
60.0,919,239.016252
260.0,941,249.274932
20.0,1124,261.531954
60.0,756,269.735745
320.0,970,280.254824
20.0,959,290.692116
0.0,751,298.859586
0.0,835,307.964508
20.0,784,316.495282
900.0,4947,370.660952
163.0,2688,401.728897
0.0,749,409.865019
263.0,3669,451.243383
1083.0,5826,515.046636
80.0,776,523.588186
20.0,828,532.604624
743.0,5332,590.752152
1841.0,2633,621.007494
960.0,1827,640.898388
80.0,1387,656.017682
642.0,9290,761.590544
20.0,745,770.048687
20.0,720,778.125154
2166.0,4049,823.42925
1841.0,3831,867.428406
0.0,613,874.545575
81.0,3027,909.896142
2215.0,3565,952.533062
1898.0,3379,993.07902
1640.0,655,1000.999792
2625.0,3440,1042.825595
240.0,649,1050.785334
2082.0,3490,1093.254452
0.0,597,1100.390709
0.0,601,1107.664902
1902.0,3516,1150.081826
160.0,653,1157.943769
160.0,720,1166.564159
322.0,1432,1183.849531
240.0,713,1192.462256
20.0,679,1200.63569
260.0,1847,1222.865806
0.0,868,1233.322236
901.0,16702,1434.231442
0.0,16656,1633.024997
