#{"t_start": 1549218258.6798549, "env_id": null}
r,l,t
0.0,16656,184.730926
20.0,11068,306.430218
40.0,859,315.610404
180.0,914,325.311976
141.0,6070,390.23419
100.0,1841,409.883051
0.0,1152,422.244489
2046.0,4913,474.833646
161.0,1686,492.90722
160.0,671,500.090795
2581.0,3608,538.696152
440.0,660,545.704679
1785.0,3890,587.229611
160.0,672,594.416543
80.0,653,601.420381
0.0,652,608.342209
0.0,601,614.703909
83.0,4222,659.879056
242.0,2276,684.216242
1711.0,3673,723.483531
1887.0,3612,762.122346
163.0,1848,781.98823
20.0,733,789.751089
20.0,1001,800.428849
20.0,2268,824.706966
20.0,8292,913.477309
20.0,733,921.242057
63.0,4339,967.748057
0.0,8060,1054.011771
0.0,16656,1232.254855
102.0,12324,1364.155702
0.0,980,1374.559101
20.0,691,1382.220624
140.0,653,1389.111623
240.0,660,1396.103147
140.0,664,1403.118281
20.0,617,1409.694291
261.0,1381,1424.284905
0.0,648,1431.097331
0.0,628,1437.742986
20.0,617,1444.27534
140.0,653,1451.205328
1739.0,4971,1503.988207
1602.0,4203,1548.560002
1973.0,4185,1593.123057
440.0,664,1600.111342
62.0,2890,1630.877078
0.0,654,1637.795903
140.0,686,1645.003152
200.0,1576,1661.734493
2028.0,3762,1701.77049
1493.0,5502,1760.240429
0.0,778,1768.442702
40.0,739,1776.257081
20.0,918,1785.959264
302.0,2338,1810.739025
140.0,768,1818.899698
0.0,664,1825.931222
60.0,664,1833.004948
602.0,3038,1865.279032
20.0,704,1872.759121
200.0,1055,1883.930902
60.0,1461,1899.434111
20.0,1505,1915.410754
0.0,748,1923.334771
20.0,1710,1941.477199
0.0,16706,2119.149799
423.0,13799,2265.715142
40.0,1589,2282.571618
2505.0,5088,2336.691426
20.0,728,2344.427912
542.0,3452,2381.240539
102.0,3126,2414.659268
343.0,16981,2596.061794
1722.0,6200,2662.011065
80.0,740,2669.85217
40.0,805,2678.377198
160.0,792,2686.735649
402.0,2871,2717.33137
20.0,713,2724.868918
1956.0,4614,2773.897869
60.0,753,2781.837139
140.0,757,2789.814453
83.0,2558,2816.90852
80.0,752,2824.860734
460.0,761,2832.929114
423.0,2696,2861.527788
140.0,1307,2875.374473
20.0,2083,2897.478016
20.0,1452,2912.875504
20.0,3260,2947.436181
20.0,1380,2962.037252
0.0,940,2971.96986
268.0,4333,3017.936426
1041.0,5199,3073.200071
560.0,13872,3220.531865
0.0,16656,3397.541123
0.0,16657,3574.620451
20.0,1571,3591.240782
100.0,906,3600.802045
20.0,807,3609.32739
20.0,940,3619.273279
502.0,4075,3662.406297
1042.0,11380,3783.0707
80.0,782,3791.350847
80.0,813,3799.989656
20.0,764,3808.063321
